Type;Stufe;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu;SSTUFE
1;unter 1 Jahr;947239;449773;497443;23;0.4748;0.5252;0.00;00
1;1 bis unter 5 Jahre;332307;142100;190203;4;0.4276;0.5724;0.00;01
1;5 bis unter 10 Jahre;227352;98228;129123;1;0.4321;0.5679;0.00;05
1;10 bis unter 15 Jahre;258201;126489;131711;1;0.4899;0.5101;0.00;10
1;15 bis unter 20 Jahre;443166;248884;194271;11;0.5616;0.4384;0.00;15
1;20 bis unter 25 Jahre;514548;316937;197605;6;0.616;0.384;0.00;20
1;25 bis unter 30 Jahre;724228;500259;223959;10;0.6907;0.3092;0.00;25
1;30 bis unter 35 Jahre;773951;547983;225963;5;0.708;0.292;0.00;30
1;35 bis unter 40 Jahre;661709;418102;243602;5;0.6319;0.3681;0.00;35
1;40 bis unter 45 Jahre;590616;311853;278759;4;0.528;0.472;0.00;40
1;45 bis unter 50 Jahre;849111;417217;431889;5;0.4914;0.5086;0.00;45
1;50 bis unter 55 Jahre;1138266;533866;604387;13;0.469;0.531;0.00;50
1;55 bis unter 60 Jahre;1265678;564499;701171;8;0.446;0.554;0.00;55
1;60 bis unter 65 Jahre;1346192;598774;747412;6;0.4448;0.5552;0.00;60
1;65 bis unter 70 Jahre;1417879;644813;773060;6;0.4548;0.5452;0.00;65
1;70 bis unter 75 Jahre;1555349;737936;817396;17;0.4745;0.5255;0.00;70
1;75 bis unter 80 Jahre;2161599;1090384;1071196;19;0.5044;0.4956;0.00;75
1;80 bis unter 85 Jahre;1598398;887536;710850;12;0.5553;0.4447;0.00;80
1;85 bis unter 90 Jahre;1058446;659241;399198;7;0.6228;0.3772;0.00;85
1;90 Jahre und älter;542316;397524;144789;3;0.733;0.267;0.00;90
2;unter 1 Jahr;41313;20306;21005;2;0.4915;0.5084;0.00;00
2;1 bis unter 5 Jahre;8297;3319;4978;0;0.40;0.60;0.00;01
2;5 bis unter 10 Jahre;6783;3060;3723;0;0.4511;0.5489;0.00;05
2;10 bis unter 15 Jahre;4665;2459;2206;0;0.5271;0.4729;0.00;10
2;15 bis unter 20 Jahre;15840;9572;6268;0;0.6043;0.3957;0.00;15
2;20 bis unter 25 Jahre;26033;16671;9361;1;0.6404;0.3596;0.00;20
2;25 bis unter 30 Jahre;35058;24994;10063;1;0.7129;0.287;0.00;25
2;30 bis unter 35 Jahre;36556;26970;9586;0;0.7378;0.2622;0.00;30
2;35 bis unter 40 Jahre;28469;19220;9249;0;0.6751;0.3249;0.00;35
2;40 bis unter 45 Jahre;22417;12709;9708;0;0.5669;0.4331;0.00;40
2;45 bis unter 50 Jahre;28527;14887;13639;1;0.5219;0.4781;0.00;45
2;50 bis unter 55 Jahre;34663;17173;17490;0;0.4954;0.5046;0.00;50
2;55 bis unter 60 Jahre;35107;16061;19046;0;0.4575;0.5425;0.00;55
2;60 bis unter 65 Jahre;35385;16322;19063;0;0.4613;0.5387;0.00;60
2;65 bis unter 70 Jahre;37299;17444;19855;0;0.4677;0.5323;0.00;65
2;70 bis unter 75 Jahre;38165;18409;19755;1;0.4824;0.5176;0.00;70
2;75 bis unter 80 Jahre;48978;24463;24513;2;0.4995;0.5005;0.00;75
2;80 bis unter 85 Jahre;29872;15726;14146;0;0.5264;0.4736;0.00;80
2;85 bis unter 90 Jahre;15733;8717;7016;0;0.5541;0.4459;0.00;85
2;90 Jahre und älter;5895;3755;2140;0;0.637;0.363;0.00;90
