Type;Gesamt;Anzahl KH;mwFallzahlHA;mwVWDkh;mwCMIkh;antSTF;BLCode
1;00_Deutschland;1444;12746.919;7.9293;1.1703;0.0294;00
2;00_Deutschland;663;807.0211;3.5881;0.6147;0.0149;00
1;01_Schleswig-Holstein;50;10865.06;8.2105;1.1783;0.0545;01
1;02_Hamburg;29;16764.8966;5.8456;1.3644;0.028;02
1;03_Niedersachsen;145;11224.7103;7.0084;1.0663;0.037;03
1;04_Bremen;12;16985.3333;6.3188;1.159;0.036;04
1;05_Nordrhein-Westfalen;299;14842.9933;7.2897;1.0578;0.0234;05
1;06_Hessen;113;11057.8584;8.1384;1.2001;0.0271;06
1;07_Rheinland-Pfalz;76;11906.4737;6.7789;1.0132;0.0313;07
1;08_Baden-Württemberg;153;13527.3856;7.605;1.132;0.0328;08
1;09_Bayern;255;10708.1725;6.9171;1.1189;0.0364;09
1;10_Saarland;21;12918.7143;7.555;1.0709;0.0309;10
1;11_Berlin;45;18319.3778;8.858;1.3134;0.0353;11
1;12_Brandenburg;53;10324.6226;9.6617;1.1226;0.0233;12
1;13_Mecklenburg-Vorpommern;32;12452.5313;7.1778;1.2779;0.0229;13
1;14_Sachsen;77;12552.2468;8.8562;1.4743;0.0181;14
1;15_Sachsen-Anhalt;42;13725.00;7.5925;1.1376;0.0196;15
1;16_Thüringen;42;13538.7143;13.721;1.1085;0.0166;16
2;01_Schleswig-Holstein;32;991.625;3.20;0.5769;0.0294;01
2;02_Hamburg;5;763.40;3.2667;0.6829;0.006;02
2;03_Niedersachsen;84;602.5119;3.4568;0.6045;0.0106;03
2;04_Bremen;-999;-999.00;-999.00;-999.00;-9.99;04
2;05_Nordrhein-Westfalen;125;525.512;2.84;0.5054;0.0095;05
2;06_Hessen;55;1600.6182;3.6279;0.599;0.019;06
2;07_Rheinland-Pfalz;48;587.1458;3.6183;0.5368;0.0141;07
2;08_Baden-Württemberg;81;669.5062;3.3785;0.5284;0.0123;08
2;09_Bayern;149;1212.6913;3.4985;0.5753;0.0162;09
2;10_Saarland;11;502.00;4.3417;1.0548;0.0125;10
2;11_Berlin;9;765.4444;3.35;0.7042;0.0062;11
2;12_Brandenburg;5;188.20;4.2667;0.5498;0.0096;12
2;13_Mecklenburg-Vorpommern;7;271.1429;3.25;0.5106;0.0053;13
2;14_Sachsen;28;379.9643;4.8407;0.6876;0.0047;14
2;15_Sachsen-Anhalt;15;248.3333;4.5375;0.8083;0.0043;15
2;16_Thüringen;8;272.625;3.30;0.5023;0.0014;16
