Bundesland_A;AnzahlKH;AnzahlFall;BLCode
01_Schleswig-Holstein;59;677119;01
02_Hamburg;31;639297;02
03_Niedersachsen;157;1892846;03
04_Bremen;12;271878;04
05_Nordrhein-Westfalen;302;5342445;05
06_Hessen;118;1585112;06
07_Rheinland-Pfalz;77;1064334;07
08_Baden-Württemberg;165;2454900;08
09_Bayern;263;3374911;09
10_Saarland;21;313455;10
11_Berlin;47;989613;11
12_Brandenburg;53;633942;12
13_Mecklenburg-Vorpommern;32;493122;13
14_Sachsen;78;1162592;14
15_Sachsen-Anhalt;43;692691;15
16_Thüringen;42;713290;16
