Art;AnzNDGes;AnzNDGesU;AnteilNDU;AnzProzGes;AnzProzGesU;AnteilProzU
Gesamt;121784038;6073099;0.0499;68238090;79515;0.0012
Gesamt ohne Duplikate;118712110;5952019;0.0501;60374010;74090;0.0012
