Type;Stufe;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu;SSTUFE
1;unter 1 Jahr;824851;390301;434533;17;0,4732;0,5268;0,00;00
2;unter 1 Jahr;47028;22914;24113;1;0,4872;0,5127;0,00;00
1;1 bis unter 5 Jahre;328946;141278;187652;16;0,4295;0,5705;0,00;01
2;1 bis unter 5 Jahre;10122;4136;5986;0;0,4086;0,5914;0,00;01
1;5 bis unter 10 Jahre;224071;97195;126872;4;0,4338;0,5662;0,00;05
2;5 bis unter 10 Jahre;9073;4131;4941;1;0,4553;0,5446;0,0001;05
1;10 bis unter 15 Jahre;271938;134437;137488;13;0,4944;0,5056;0,00;10
2;10 bis unter 15 Jahre;6394;3344;3050;0;0,523;0,477;0,00;10
1;15 bis unter 20 Jahre;432943;248962;183976;5;0,575;0,4249;0,00;15
2;15 bis unter 20 Jahre;19071;11885;7186;0;0,6232;0,3768;0,00;15
1;20 bis unter 25 Jahre;512664;312871;199791;2;0,6103;0,3897;0,00;20
2;20 bis unter 25 Jahre;30438;19983;10455;0;0,6565;0,3435;0,00;20
1;25 bis unter 30 Jahre;642898;433339;209557;2;0,674;0,326;0,00;25
2;25 bis unter 30 Jahre;39434;28852;10580;2;0,7317;0,2683;0,0001;25
1;30 bis unter 35 Jahre;685835;470309;215524;2;0,6857;0,3143;0,00;30
2;30 bis unter 35 Jahre;41472;31318;10154;0;0,7552;0,2448;0,00;30
1;35 bis unter 40 Jahre;582310;357466;224837;7;0,6139;0,3861;0,00;35
2;35 bis unter 40 Jahre;30715;21109;9606;0;0,6873;0,3127;0,00;35
1;40 bis unter 45 Jahre;624140;324506;299630;4;0,5199;0,4801;0,00;40
2;40 bis unter 45 Jahre;27435;15821;11614;0;0,5767;0,4233;0,00;40
1;45 bis unter 50 Jahre;902997;441252;461733;12;0,4887;0,5113;0,00;45
2;45 bis unter 50 Jahre;35010;18771;16239;0;0,5362;0,4638;0,00;45
1;50 bis unter 55 Jahre;1118668;523843;594813;12;0,4683;0,5317;0,00;50
2;50 bis unter 55 Jahre;38317;19409;18907;1;0,5065;0,4934;0,00;50
1;55 bis unter 60 Jahre;1198571;534100;664454;17;0,4456;0,5544;0,00;55
2;55 bis unter 60 Jahre;37446;17512;19932;2;0,4677;0,5323;0,0001;55
1;60 bis unter 65 Jahre;1310982;586041;724920;21;0,447;0,553;0,00;60
2;60 bis unter 65 Jahre;39277;18442;20833;2;0,4695;0,5304;0,0001;60
1;65 bis unter 70 Jahre;1255527;575662;679855;10;0,4585;0,5415;0,00;65
2;65 bis unter 70 Jahre;37148;17859;19289;0;0,4808;0,5192;0,00;65
1;70 bis unter 75 Jahre;1848998;880692;968259;47;0,4763;0,5237;0,00;70
2;70 bis unter 75 Jahre;51621;25070;26550;1;0,4857;0,5143;0,00;70
1;75 bis unter 80 Jahre;2030101;1038163;991919;19;0,5114;0,4886;0,00;75
2;75 bis unter 80 Jahre;52145;26799;25346;0;0,5139;0,4861;0,00;75
1;80 bis unter 85 Jahre;1442407;815597;626793;17;0,5654;0,4345;0,00;80
2;80 bis unter 85 Jahre;30915;16900;14015;0;0,5467;0,4533;0,00;80
1;85 bis unter 90 Jahre;1011654;652832;358790;32;0,6453;0,3547;0,00;85
2;85 bis unter 90 Jahre;17793;10256;7537;0;0,5764;0,4236;0,00;85
1;90 Jahre und älter;493141;368455;124658;28;0,7472;0,2528;0,0001;90
2;90 Jahre und älter;6571;4349;2222;0;0,6618;0,3382;0,00;90
