Type;Gesamt;Anzahl KH;mwFallzahlHA;mwVWDkh;mwCMIkh;antSTF;BLCode
1;00_Deutschland;1433;12829.5659;7.6244;1.1849;0.0286;00
2;00_Deutschland;637;781.4254;3.408;0.5967;0.0128;00
1;01_Schleswig-Holstein;47;11518.7234;8.5961;1.1934;0.0503;01
1;02_Hamburg;30;16004.50;5.9455;1.368;0.0278;02
1;03_Niedersachsen;144;11301.7014;6.9123;1.0996;0.0356;03
1;04_Bremen;12;16928.4167;6.125;1.1363;0.029;04
1;05_Nordrhein-Westfalen;299;14814.6455;7.4806;1.0845;0.0228;05
1;06_Hessen;111;11229.4775;8.1349;1.229;0.0263;06
1;07_Rheinland-Pfalz;73;12346.9315;6.72;1.0219;0.0319;07
1;08_Baden-Württemberg;155;13397.929;7.6112;1.1499;0.0333;08
1;09_Bayern;248;11052.5363;6.8172;1.1272;0.0352;09
1;10_Saarland;22;12414.0455;8.0883;1.1346;0.0287;10
1;11_Berlin;45;18429.9333;8.572;1.3604;0.0317;11
1;12_Brandenburg;53;10251.566;9.326;1.2057;0.0249;12
1;13_Mecklenburg-Vorpommern;32;12449.625;6.8109;1.2262;0.0227;13
1;14_Sachsen;77;12446.1429;8.624;1.3561;0.0172;14
1;15_Sachsen-Anhalt;43;13246.7442;7.1429;1.1021;0.02;15
1;16_Thüringen;42;13462.9048;9.4636;1.2256;0.0158;16
2;01_Schleswig-Holstein;30;994.6333;3.2412;0.6092;0.0171;01
2;02_Hamburg;5;752.40;3.0333;0.632;0.0051;02
2;03_Niedersachsen;73;648.2877;3.294;0.5541;0.008;03
2;04_Bremen;-999;-999.00;-999.00;-999.00;-9.99;04
2;05_Nordrhein-Westfalen;127;487.5512;2.7402;0.4934;0.0087;05
2;06_Hessen;57;1481.7368;3.4712;0.595;0.0172;06
2;07_Rheinland-Pfalz;45;551.3111;3.3282;0.5387;0.0131;07
2;08_Baden-Württemberg;76;644.9868;3.1717;0.503;0.0124;08
2;09_Bayern;146;1156.8082;3.3763;0.5787;0.0141;09
2;10_Saarland;10;305.20;2.7042;0.4865;0.0082;10
2;11_Berlin;8;888.625;4.4167;0.921;0.0053;11
2;12_Brandenburg;4;162.75;4.3333;0.5437;0.0338;12
2;13_Mecklenburg-Vorpommern;8;234.625;2.7778;0.4882;0.0059;13
2;14_Sachsen;25;376.48;4.08;0.6914;0.0048;14
2;15_Sachsen-Anhalt;14;248.50;4.9417;0.9315;0.0032;15
2;16_Thüringen;8;237.875;3.2688;0.5459;0.0016;16
