Art;AnzNDGes;AnzNDGesU;AnteilNDU;AnzProzGes;AnzProzGesU;AnteilProzU
Gesamt;125468444;6122582;0.0488;69777020;80822;0.0012
Gesamt ohne Duplikate;122441322;6006768;0.0491;61808687;76179;0.0012
