Type;Stufe;SummeA;SummeAw;SummeAm;SummeAu;Anteilw;Anteilm;Anteilu;SSTUFE
1;unter 1 Jahr;957472;454602;502815;55;0.4748;0.5251;0.0001;00
1;1 bis unter 5 Jahre;326782;139663;187091;28;0.4274;0.5725;0.0001;01
1;5 bis unter 10 Jahre;220069;94987;125066;16;0.4316;0.5683;0.0001;05
1;10 bis unter 15 Jahre;253714;123827;129872;15;0.4881;0.5119;0.0001;10
1;15 bis unter 20 Jahre;417984;235114;182844;26;0.5625;0.4374;0.0001;15
1;20 bis unter 25 Jahre;488726;299221;189487;18;0.6122;0.3877;0.00;20
1;25 bis unter 30 Jahre;697382;482695;214671;16;0.6922;0.3078;0.00;25
1;30 bis unter 35 Jahre;770726;548000;222711;15;0.711;0.289;0.00;30
1;35 bis unter 40 Jahre;665374;423721;241642;11;0.6368;0.3632;0.00;35
1;40 bis unter 45 Jahre;568427;302516;265888;23;0.5322;0.4678;0.00;40
1;45 bis unter 50 Jahre;803371;395094;408221;56;0.4918;0.5081;0.0001;45
1;50 bis unter 55 Jahre;1121666;525939;595663;64;0.4689;0.5311;0.0001;50
1;55 bis unter 60 Jahre;1284434;572639;711703;92;0.4458;0.5541;0.0001;55
1;60 bis unter 65 Jahre;1357865;601133;756621;111;0.4427;0.5572;0.0001;60
1;65 bis unter 70 Jahre;1459779;661887;797789;103;0.4534;0.5465;0.0001;65
1;70 bis unter 75 Jahre;1478641;697613;780932;96;0.4718;0.5281;0.0001;70
1;75 bis unter 80 Jahre;2162577;1087744;1074738;95;0.503;0.497;0.00;75
1;80 bis unter 85 Jahre;1706722;940854;765776;92;0.5513;0.4487;0.0001;80
1;85 bis unter 90 Jahre;1073250;658232;414941;77;0.6133;0.3866;0.0001;85
1;90 Jahre und älter;569807;410981;158799;27;0.7213;0.2787;0.00;90
2;unter 1 Jahr;36368;17734;18629;5;0.4876;0.5122;0.0001;00
2;1 bis unter 5 Jahre;7502;2994;4508;0;0.3991;0.6009;0.00;01
2;5 bis unter 10 Jahre;5933;2647;3283;3;0.4461;0.5533;0.0005;05
2;10 bis unter 15 Jahre;4105;2088;2017;0;0.5086;0.4914;0.00;10
2;15 bis unter 20 Jahre;13591;7978;5613;0;0.587;0.413;0.00;15
2;20 bis unter 25 Jahre;22733;14211;8521;1;0.6251;0.3748;0.00;20
2;25 bis unter 30 Jahre;32278;22551;9726;1;0.6986;0.3013;0.00;25
2;30 bis unter 35 Jahre;33524;24095;9428;1;0.7187;0.2812;0.00;30
2;35 bis unter 40 Jahre;26409;17576;8831;2;0.6655;0.3344;0.0001;35
2;40 bis unter 45 Jahre;20824;11482;9341;1;0.5514;0.4486;0.00;40
2;45 bis unter 50 Jahre;26403;13768;12635;0;0.5215;0.4785;0.00;45
2;50 bis unter 55 Jahre;32690;16124;16563;3;0.4932;0.5067;0.0001;50
2;55 bis unter 60 Jahre;34521;15838;18681;2;0.4588;0.5411;0.0001;55
2;60 bis unter 65 Jahre;33993;15511;18480;2;0.4563;0.5436;0.0001;60
2;65 bis unter 70 Jahre;35520;16271;19247;2;0.4581;0.5419;0.0001;65
2;70 bis unter 75 Jahre;34777;16466;18307;4;0.4735;0.5264;0.0001;70
2;75 bis unter 80 Jahre;46138;22901;23233;4;0.4964;0.5036;0.0001;75
2;80 bis unter 85 Jahre;30288;15778;14508;2;0.5209;0.479;0.0001;80
2;85 bis unter 90 Jahre;14672;8150;6522;0;0.5555;0.4445;0.00;85
2;90 Jahre und älter;5499;3464;2035;0;0.6299;0.3701;0.00;90
