Type;Gesamt;Anzahl KH;mwFallzahlHA;mwVWDkh;mwCMIkh;antSTF;BLCode
1;00_Deutschland;1460;12379.4219;7.7478;1.1793;0.0291;00
2;00_Deutschland;685;832.473;3.6738;0.5841;0.0157;00
1;01_Schleswig-Holstein;50;10680.28;8.1563;1.0959;0.0618;01
1;02_Hamburg;30;15961.5333;6.0667;1.4301;0.0298;02
1;03_Niedersachsen;147;10880.3673;6.8986;1.0834;0.0371;03
1;04_Bremen;12;16861.3333;5.9417;1.1137;0.039;04
1;05_Nordrhein-Westfalen;304;14309.6053;6.9601;1.0291;0.0232;05
1;06_Hessen;110;11105.2636;8.1806;1.2837;0.0255;06
1;07_Rheinland-Pfalz;78;11283.141;6.7868;1.0064;0.0308;07
1;08_Baden-Württemberg;156;13064.641;7.4319;1.1474;0.0318;08
1;09_Bayern;260;10308.6038;6.8037;1.098;0.0361;09
1;10_Saarland;21;12582.7619;7.905;1.097;0.0287;10
1;11_Berlin;44;17991.0682;8.8108;1.3085;0.0289;11
1;12_Brandenburg;53;10148.1509;8.9993;1.123;0.0205;12
1;13_Mecklenburg-Vorpommern;32;12320.625;7.3297;1.2744;0.0224;13
1;14_Sachsen;77;12548.7143;9.0076;1.5327;0.0187;14
1;15_Sachsen-Anhalt;43;13223.5814;7.8126;1.1257;0.0207;15
1;16_Thüringen;43;13172.5349;10.7401;1.1691;0.017;16
2;01_Schleswig-Holstein;33;951.5758;3.3555;0.5302;0.0301;01
2;02_Hamburg;5;749.20;3.7167;0.7492;0.0037;02
2;03_Niedersachsen;86;655.8372;3.3402;0.5379;0.0127;03
2;04_Bremen;-999;-999.00;-999.00;-999.00;-9.99;04
2;05_Nordrhein-Westfalen;136;512.8382;3.3757;0.5133;0.0085;05
2;06_Hessen;58;1625.8103;3.6152;0.5758;0.0195;06
2;07_Rheinland-Pfalz;49;679.8163;3.7668;0.5286;0.0186;07
2;08_Baden-Württemberg;82;694.4512;3.5229;0.5155;0.0128;08
2;09_Bayern;152;1243.1382;3.6835;0.5626;0.0174;09
2;10_Saarland;11;488.9091;3.3917;0.5189;0.0108;10
2;11_Berlin;8;1064.875;4.4083;0.8626;0.0058;11
2;12_Brandenburg;5;184.40;4.2667;0.5781;0.0054;12
2;13_Mecklenburg-Vorpommern;8;222.875;3.3417;0.5216;0.0062;13
2;14_Sachsen;29;392.2069;4.4404;0.7362;0.0038;14
2;15_Sachsen-Anhalt;14;333.2143;4.3167;0.7289;0.0039;15
2;16_Thüringen;8;318.50;3.4333;0.5541;0.0024;16
