Art;AnzNDGes;AnzNDGesU;AnteilNDU;AnzProzGes;AnzProzGesU;AnteilProzU
Gesamt;116355161;5940746;0.0511;64807567;83249;0.0013
Gesamt ohne Duplikate;113420246;5822161;0.0513;57269100;77592;0.0014
