Bundesland_A;Stufe;Anzahl KH;Anteil KH;BLCode;BettenstufeSort
00_Deutschland;bis 49 Betten;165;0.1088;00;b0049
00_Deutschland;50 bis 99 Betten;199;0.1312;00;b0099
00_Deutschland;100 bis 149 Betten;206;0.1358;00;b0149
00_Deutschland;150 bis 199 Betten;167;0.1101;00;b0199
00_Deutschland;200 bis 249 Betten;129;0.085;00;b0249
00_Deutschland;250 bis 299 Betten;100;0.0659;00;b0299
00_Deutschland;300 bis 399 Betten;175;0.1154;00;b0399
00_Deutschland;400 bis 499 Betten;121;0.0798;00;b0499
00_Deutschland;500 bis 599 Betten;81;0.0534;00;b0599
00_Deutschland;600 bis 799 Betten;71;0.0468;00;b0799
00_Deutschland;800 bis 999 Betten;32;0.0211;00;b0999
00_Deutschland;1000 Betten und mehr;51;0.0336;00;b1000+
00_Deutschland;Ohne Angabe;20;0.0132;00;oA
01_Schleswig-Holstein;bis 49 Betten;18;0.30;01;b0049 
01_Schleswig-Holstein;50 bis 99 Betten;8;0.1333;01;b0099 
01_Schleswig-Holstein;100 bis 149 Betten;4;0.0667;01;b0149 
01_Schleswig-Holstein;150 bis 199 Betten;5;0.0833;01;b0199 
01_Schleswig-Holstein;200 bis 249 Betten;5;0.0833;01;b0249 
01_Schleswig-Holstein;250 bis 299 Betten;0;0.00;01;b0299 
01_Schleswig-Holstein;300 bis 399 Betten;5;0.0833;01;b0399 
01_Schleswig-Holstein;400 bis 499 Betten;5;0.0833;01;b0499 
01_Schleswig-Holstein;500 bis 599 Betten;2;0.0333;01;b0599 
01_Schleswig-Holstein;600 bis 799 Betten;4;0.0667;01;b0799 
01_Schleswig-Holstein;800 bis 999 Betten;0;0.00;01;b0999 
01_Schleswig-Holstein;1000 Betten und mehr;2;0.0333;01;b1000+
01_Schleswig-Holstein;Ohne Angabe;2;0.0333;01;oA    
02_Hamburg;bis 49 Betten;3;0.0938;02;b0049 
02_Hamburg;50 bis 99 Betten;2;0.0625;02;b0099 
02_Hamburg;100 bis 149 Betten;3;0.0938;02;b0149 
02_Hamburg;150 bis 199 Betten;4;0.125;02;b0199 
02_Hamburg;200 bis 249 Betten;4;0.125;02;b0249 
02_Hamburg;250 bis 299 Betten;1;0.0313;02;b0299 
02_Hamburg;300 bis 399 Betten;2;0.0625;02;b0399 
02_Hamburg;400 bis 499 Betten;1;0.0313;02;b0499 
02_Hamburg;500 bis 599 Betten;4;0.125;02;b0599 
02_Hamburg;600 bis 799 Betten;6;0.1875;02;b0799 
02_Hamburg;800 bis 999 Betten;0;0.00;02;b0999 
02_Hamburg;1000 Betten und mehr;1;0.0313;02;b1000+
02_Hamburg;Ohne Angabe;1;0.0313;02;oA    
03_Niedersachsen;bis 49 Betten;21;0.1321;03;b0049 
03_Niedersachsen;50 bis 99 Betten;26;0.1635;03;b0099 
03_Niedersachsen;100 bis 149 Betten;30;0.1887;03;b0149 
03_Niedersachsen;150 bis 199 Betten;15;0.0943;03;b0199 
03_Niedersachsen;200 bis 249 Betten;12;0.0755;03;b0249 
03_Niedersachsen;250 bis 299 Betten;14;0.0881;03;b0299 
03_Niedersachsen;300 bis 399 Betten;15;0.0943;03;b0399 
03_Niedersachsen;400 bis 499 Betten;9;0.0566;03;b0499 
03_Niedersachsen;500 bis 599 Betten;7;0.044;03;b0599 
03_Niedersachsen;600 bis 799 Betten;3;0.0189;03;b0799 
03_Niedersachsen;800 bis 999 Betten;1;0.0063;03;b0999 
03_Niedersachsen;1000 Betten und mehr;3;0.0189;03;b1000+
03_Niedersachsen;Ohne Angabe;3;0.0189;03;oA    
04_Bremen;bis 49 Betten;0;0.00;04;b0049 
